metric,dataset,feature,op,threshold,coverage,n,mean_delta,base_rr,rel_gain,improved,worse,unchanged,improved_sum,worse_sum,improved_mean,worse_mean
official_aligned,FB15k-237,avg_rules,>=,56.0,0.5000367475930326,20411,0.004059052286450533,0.21980333376596742,0.018466745780900455,8188,4949,7274,133.3642793511428,-50.51496313240097,0.016287772270535274,-0.010207105098484739
official_aligned,KG20C,gt_stage1_official,<=,0.0,0.3809076262083781,2837,0.007505413172174178,0.00012149400821754723,61.775994407353664,2411,206,220,21.530597649515048,-0.2377404800569019,0.008930152488392804,-0.0011540800002762229
official_aligned,KG20C,gt_stage2_official,<=,0.0,0.3809076262083781,2837,0.007505413172174178,0.00012149400821754723,61.775994407353664,2411,206,220,21.530597649515048,-0.2377404800569019,0.008930152488392804,-0.0011540800002762229
official_aligned,KG20C,gt_rules,<=,0.0,0.3809076262083781,2837,0.007505413172174178,0.00012149400821754723,61.775994407353664,2411,206,220,21.530597649515048,-0.2377404800569019,0.008930152488392804,-0.0011540800002762229
official_aligned,KG20C,gt_stage1_official,<=,0.006820313513749328,0.3999731471535983,2979,0.00740146157468829,0.0037333101143145124,1.982546680574191,2475,284,220,22.376712751074862,-0.3277587200784473,0.009041096061040348,-0.0011540800002762229
official_aligned,KG20C,gt_stage2_official,<=,0.006820313513749328,0.3999731471535983,2979,0.00740146157468829,0.0037333101143145124,1.982546680574191,2475,284,220,22.376712751074862,-0.3277587200784473,0.009041096061040348,-0.0011540800002762229
official_aligned,KG20C,gt_stage1_official,<=,0.028497043981985968,0.5001342642320086,3725,0.008209537518028588,0.02428267482707844,0.3380820925408865,3212,284,229,30.90828597473494,-0.3277587200784473,0.009622754039456706,-0.0011540800002762229
official_aligned,KG20C,gt_stage2_official,<=,0.028436008427860135,0.5,3724,0.008204100401102676,0.024291753201776272,0.33773191802816327,3211,284,229,30.879828613784813,-0.3277587200784473,0.009616888387974093,-0.0011540800002762229
official_aligned,KG20C,gt_rules,<=,1.0,0.4203813104189044,3131,0.007695541303910496,0.027404251853764525,0.2808155955132692,2587,321,223,24.46519950263243,-0.37045968008866753,0.00945697700140411,-0.0011540800002762229
official_aligned,KG20C,gt_stage1_official,<=,0.057886596981209903,0.6001611170784104,4470,0.008826173607420891,0.04980976891488508,0.17719764214331238,3928,311,231,39.828613451586016,-0.37561742641463464,0.010139667375658355,-0.0012077730752882143
official_aligned,KG20C,gt_stage2_official,<=,0.057886596981209903,0.6001611170784104,4470,0.008826173607420891,0.04980976891488508,0.17719764214331238,3928,311,231,39.828613451586016,-0.37561742641463464,0.010139667375658355,-0.0012077730752882143
official_aligned,KG20C,gt_stage2_official,<=,0.09632819849347435,0.6999194414607949,5213,0.008399920651254942,0.09069383906851207,0.09261842631790526,4378,585,250,44.480196652600675,-0.6914102976086651,0.010159935279260091,-0.0011818979446301969
official_aligned,KG20C,gt_stage1_official,<=,0.09643626385074401,0.7000537056928035,5214,0.008403767494426954,0.09073750561493568,0.0926162498899867,4379,585,250,44.5086540135508,-0.6914102976086651,0.010164113727689153,-0.0011818979446301969
official_aligned,KG20C,gt_stage1_official,<=,0.13437580278429528,0.75,5586,0.00836771638344955,0.10948796966823876,0.07642589782973144,4668,646,272,47.56898285578688,-0.8269191378376906,0.01019044191426454,-0.001280060584888066
official_aligned,KG20C,gt_stage2_official,<=,0.13450497236970874,0.75,5586,0.00836771638344955,0.10948796966823876,0.07642589782973144,4668,646,272,47.56898285578688,-0.8269191378376906,0.01019044191426454,-0.001280060584888066
official_aligned,KG20C,avg_rules,>=,11.647058823529411,0.20220193340494091,1506,0.006603452700219356,0.09981258020274399,0.06615852116843501,1333,1,172,9.952054912747553,-0.007255146217203818,0.007465907661476034,-0.007255146217203818
official_aligned,KG20C,avg_rules,>=,10.6,0.25080558539205156,1868,0.006599851897506655,0.10760995535495456,0.06133123906368005,1652,2,214,12.413430598801336,-0.08490725425890239,0.007514183171187249,-0.042453627129451194
official_aligned,KG20C,num_edges,>=,20.0,0.2005907626208378,1494,0.0068970785268955,0.11513428047495147,0.059904647846355574,1493,1,0,10.31149046539908,-0.007255146217203818,0.006906557578967904,-0.007255146217203818
