dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,pos_mass,desc,0.010000388562616536,0.2,8164,36.1648,0.24190795204170523,0.2511946707929614,0.009286718751256196,0.03838947282582583,0.028389084263209297
FB15k-237,net_dep_mass,desc,0.010000388562623641,0.2,8164,33.40809,0.24667934906318056,0.25614371168487343,0.009464362621692868,0.038367065008221735,0.028366676445598094
FB15k-237,num_pos_dep,desc,0.010000388562616758,0.22,8980,110.0,0.24898170838311995,0.2583161766502868,0.009334468267166829,0.03749057843559922,0.027490189872982462
FB15k-237,unique_synergy_edges,desc,0.010000388562616758,0.22,8980,110.0,0.24898170838311995,0.2583161766502868,0.009334468267166829,0.03749057843559922,0.027490189872982462
FB15k-237,max_negative_dep,desc,0.010000388562504403,0.22,8980,251.0,0.24124700374245006,0.25027506885605855,0.009028065113608486,0.037422496335940636,0.027422107773436233
FB15k-237,max_positive_dep,desc,0.010000388562536378,0.24,9797,90.0,0.2563792730091538,0.2658323460053722,0.009453072996218392,0.03687144005545595,0.026871051492919573
FB15k-237,synergy_weight_top10_mean,desc,0.010000388562615425,0.22,8980,0.656407,0.2672094576009396,0.27704592763283753,0.009836470031897915,0.036811833384236214,0.02681144482162079
FB15k-237,synergy_weight_top5_mean,desc,0.010000388562614315,0.22,8980,0.745552,0.26884728934106267,0.27856421598864173,0.00971692664757906,0.03614292214511439,0.02614253358250007
FB15k-237,synergy_weight_top5_sum,desc,0.010000388562614315,0.22,8980,3.68194,0.2670213521725125,0.2765113246007421,0.009489972428229632,0.03554012572784271,0.025539737165228393
FB15k-237,synergy_weight_top10_sum,desc,0.010000388562615647,0.22,8980,6.39946,0.26145290455650394,0.27070532920555507,0.009252424649051127,0.035388494401107584,0.025388105838491937
FB15k-237,synergy_weight_top3_sum,desc,0.010000388562614537,0.22,8980,2.42693,0.2695191414366376,0.2787460759396917,0.009226934503054118,0.03423480222544173,0.024234413662827192
FB15k-237,topk_synergy_sum,desc,0.010000388562614537,0.22,8980,2.42693,0.2695191414366376,0.2787460759396917,0.009226934503054118,0.03423480222544173,0.024234413662827192
FB15k-237,synergy_weight_max,desc,0.01000038856261587,0.26,10613,0.65036,0.28021795807297384,0.2898069579464531,0.009588999873479276,0.034219790692294305,0.024219402129678436
FB15k-237,synergy_weight_top1_mean,desc,0.01000038856261587,0.26,10613,0.65036,0.28021795807297384,0.2898069579464531,0.009588999873479276,0.034219790692294305,0.024219402129678436
FB15k-237,synergy_weight_top1_sum,desc,0.01000038856261587,0.26,10613,0.65036,0.28021795807297384,0.2898069579464531,0.009588999873479276,0.034219790692294305,0.024219402129678436
FB15k-237,synergy_weight_top3_mean,desc,0.010000388562615203,0.22,8980,0.81063,0.269735842629546,0.278913017147811,0.009177174518265052,0.03402282184229022,0.024022433279675015
FB15k-237,topk_synergy,desc,0.010000388562615203,0.22,8980,0.81063,0.269735842629546,0.278913017147811,0.009177174518265052,0.03402282184229022,0.024022433279675015
FB15k-237,synergy_weight_mean,desc,0.010000388562620088,0.2,8164,0.2545023529411764,0.29247530821808015,0.30191311616548694,0.009437807947406784,0.03226873408530473,0.02226834552268464
FB15k-237,syn_rule_ratio,desc,0.010000388562608986,0.2,8164,0.1906308598059823,0.30266942964009697,0.31210270960833986,0.009433279968242891,0.031166940048950265,0.02116655148634128
FB15k-237,dep_rule_ratio,desc,0.010000388562482643,0.22,8980,0.1720551813605069,0.3067948901983773,0.3160380399563384,0.009243149757961089,0.030128108561340072,0.02012771999885743
FB15k-237,dep_density,desc,0.010000388562508622,0.24,9797,0.0104298356510745,0.3422091708003112,0.35232561723164973,0.010116446431338522,0.029562172187494573,0.01956178362498595
FB15k-237,num_neg_dep,desc,0.010000388562592333,0.2,8164,14.0,0.23284784594687605,0.239729340884474,0.0068814949375979595,0.029553612186594913,0.01955322362400258
FB15k-237,unique_redundancy_edges,desc,0.010000388562592333,0.2,8164,14.0,0.23284784594687605,0.239729340884474,0.0068814949375979595,0.029553612186594913,0.01955322362400258
FB15k-237,neg_mass,desc,0.010000388562592555,0.2,8164,0.82848,0.2860228884564523,0.29364308238253595,0.0076201939260836515,0.02664190256663268,0.016641514004040125
FB15k-237,pos_dep_ratio,desc,0.010000388562606544,0.38,15511,0.0,0.30757509822159346,0.3156552618459209,0.008080163624327452,0.02627053903598542,0.016270150473378875
FB15k-237,redundancy_weight_top10_sum,desc,0.010000388562592999,0.24,9797,0.41417,0.31292365865761995,0.32065543807076263,0.007731779413142681,0.02470819702898286,0.01470780846638986
FB15k-237,redundancy_weight_top5_sum,desc,0.010000388562590778,0.2,8164,0.4466199999999999,0.31060934390214595,0.31807251825988714,0.007463174357741187,0.024027526873410476,0.014027138310819698
FB15k-237,redundancy_weight_top3_sum,desc,0.010000388562589224,0.28,11429,0.14549,0.3379525255609196,0.3458498744303361,0.00789734886941651,0.023368219711655813,0.013367831149066589
FB15k-237,redundancy_weight_top5_mean,desc,0.010000388562590556,0.32,13062,0.0293119999999999,0.34418874634114166,0.35217212524292796,0.007983378901786298,0.023194770272569,0.013194381709978442
FB15k-237,redundancy_weight_top3_mean,desc,0.010000388562591,0.3,12246,0.04395,0.3426839454187648,0.3506315486635321,0.007947603244767287,0.023192225229738073,0.013191836667147072
FB15k-237,topk_redundancy,desc,0.010000388562591,0.3,12246,0.04395,0.3426839454187648,0.3506315486635321,0.007947603244767287,0.023192225229738073,0.013191836667147072
FB15k-237,red_rule_ratio,desc,0.010000388562590556,0.32,13062,0.0007717883665282,0.3503900135253584,0.3585065835280511,0.008116570002692669,0.023164387366608752,0.013163998804018195
FB15k-237,redundancy_weight_mean,desc,0.010000388562589002,0.32,13062,0.02518,0.3468794390418648,0.35489988341664497,0.008020444374780167,0.023121705907199086,0.013121317344610084
FB15k-237,redundancy_weight_max,desc,0.010000388562588558,0.34,13878,0.02642,0.3430886482337053,0.3509835316695157,0.007894883435810407,0.02301120563578829,0.013010817073199732
FB15k-237,redundancy_weight_top1_mean,desc,0.010000388562588558,0.34,13878,0.02642,0.3430886482337053,0.3509835316695157,0.007894883435810407,0.02301120563578829,0.013010817073199732
FB15k-237,redundancy_weight_top1_sum,desc,0.010000388562588558,0.34,13878,0.02642,0.3430886482337053,0.3509835316695157,0.007894883435810407,0.02301120563578829,0.013010817073199732
FB15k-237,redundancy_weight_top10_mean,desc,0.010000388562589446,0.32,13062,0.027354,0.34596986041336486,0.3539284512134383,0.00795859080007344,0.023003711336486043,0.013003322773896597
FB15k-237,neg_dep_ratio,desc,0.010000388562593221,0.36,14695,0.0024691358024691,0.344218478918086,0.3519773551076818,0.007758876189595809,0.02254055684047751,0.01254016827788429
FB15k-237,num_candidate_rule_edges,desc,0.010000388562632523,0.5,20410,5298.0,0.20363172968966195,0.20771465572894743,0.004082926039285478,0.020050539498475572,0.01005015093584305
FB15k-237,rule_dominance_ratio,asc,0.010000388562572349,0.58,23675,0.0060418705995234,0.2329063780085078,0.2372933929811092,0.004387014972601411,0.01883595893814971,0.008835570375577362
FB15k-237,rule_mass,desc,0.01000038856251484,0.44,17960,220.22037759055857,0.24839845255950005,0.25248381346777143,0.004085360908271385,0.016446804986809616,0.006446416424294776
