dataset,relation,selected_rules,possible_pairs,observed_pairs,support_qualified_pairs,significant_pairs,significant_pairs_positive,significant_pairs_negative,observed_pairs_over_possible,qualified_pairs_over_observed,significant_pairs_over_qualified,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,93,500,124750,27661,7700,316,2,314,0.2217314629258517,0.2783702686092332,0.04103896103896104,20708500,438681,77205,0,0,0,0.021183620252553298,0.17599348957442879,0.0
FB15k-237,94,11,55,25,17,0,0,0,0.45454545454545453,0.68,0.0,165,21,6,0,0,0,0.12727272727272726,0.2857142857142857,0.0
FB15k-237,95,500,124750,14542,11332,1222,0,1222,0.1165691382765531,0.7792600742676385,0.10783621602541475,20708500,238257,155387,10,0,10,0.011505275611463892,0.652182307340393,6.435544801045133e-05
FB15k-237,96,500,124750,16599,5532,774,8,766,0.13305811623246494,0.33327308874028555,0.1399132321041215,20708500,187944,38322,3,0,3,0.009075693555786272,0.2039011620482697,7.828401440425865e-05
FB15k-237,97,500,124750,12323,5980,812,592,220,0.09878156312625251,0.4852714436419703,0.13578595317725753,20708500,119478,36819,111,104,7,0.0057695149334814205,0.30816552001205244,0.0030147478204188057
FB15k-237,98,500,124750,26204,5335,284,0,284,0.21005210420841683,0.20359487101205923,0.05323336457357076,20708500,329105,30445,3,0,3,0.015892266460632107,0.09250846994120418,9.853834784036788e-05
FB15k-237,99,146,10585,3997,2748,38,4,34,0.37760982522437414,0.6875156367275457,0.013828238719068414,508080,54169,22410,0,0,0,0.10661509998425445,0.41370525577359746,0.0
FB15k-237,100,500,124750,42234,17346,2963,403,2560,0.3385490981963928,0.4107117488279585,0.17081747953418655,20708500,1424416,295556,143,8,135,0.06878412246179105,0.20749275492552738,0.0004838338588964528
FB15k-237,101,500,124750,5699,1220,87,1,86,0.045683366733466936,0.21407264432356554,0.07131147540983607,20708500,14141,1159,1,0,1,0.0006828596952942028,0.08196025740753836,0.0008628127696289905
FB15k-237,102,500,124750,25632,16286,3878,3643,235,0.20546693386773546,0.6353776529338327,0.2381186294977281,20708500,633932,267458,2931,2928,3,0.030612164087210566,0.42190329562161244,0.010958729968817534
FB15k-237,103,500,124750,13447,8343,489,228,261,0.10779158316633267,0.6204357849334424,0.05861201006832075,20708500,155453,59943,101,4,97,0.007506724291957409,0.3856020790849968,0.0016849340206529537
FB15k-237,104,500,124750,13896,3415,84,0,84,0.11139078156312625,0.24575417386298215,0.02459736456808199,20708500,104554,11169,4,0,4,0.00504884467730642,0.10682518124605467,0.0003581341212284
FB15k-237,105,438,95703,24559,17208,1256,1053,203,0.25661682496891425,0.7006799951138075,0.07298930729893073,13908836,683849,316545,0,0,0,0.049166515443851665,0.46288727482236575,0.0
FB15k-237,106,500,124750,23567,13452,960,470,490,0.18891382765531062,0.5707981499554462,0.07136485280999108,20708500,557252,200652,7,0,7,0.026909336745780717,0.360074077796042,3.48862707573311e-05
FB15k-237,107,500,124750,15470,8646,882,102,780,0.12400801603206413,0.5588881706528765,0.10201249132546843,20708500,200949,74432,16,0,16,0.009703696549725959,0.37040244042020615,0.00021496130696474635
FB15k-237,108,500,124750,72581,54466,31400,109,31291,0.5818116232464929,0.7504167757402075,0.5765064443873242,20708500,5851133,3210529,8498,0,8498,0.28254740806915035,0.5487021060707388,0.0026469158197916917
FB15k-237,109,500,124750,32906,19558,5207,4950,257,0.2637755511022044,0.5943596912417188,0.2662337662337662,20708500,957800,360090,1700,1694,6,0.046251539223024364,0.3759553142618501,0.004721041961731789
FB15k-237,110,429,91806,54569,33536,31420,0,31420,0.5943947018713374,0.6145613810038667,0.9369036259541985,13067054,3380666,1301147,0,0,0,0.2587167696712664,0.38487889664344244,0.0
FB15k-237,111,130,8385,3609,2729,296,221,75,0.4304114490161002,0.7561651426988085,0.10846463906192745,357760,52358,26386,7,7,0,0.14634950805008945,0.5039535505557889,0.00026529220040930794
FB15k-237,112,500,124750,12893,2506,37,0,37,0.10335070140280561,0.19436903746218878,0.014764565043894652,20708500,92132,6487,0,0,0,0.00444899437429075,0.07040984674163157,0.0
FB15k-237,113,173,14878,6832,4969,1766,11,1755,0.4592015055787068,0.7273126463700235,0.35540350171060575,848046,139403,75705,3,0,3,0.16438141327239325,0.5430657876803225,3.962750148603131e-05
FB15k-237,114,500,124750,48958,23613,3069,864,2205,0.39244889779559117,0.4823113689284693,0.12997077880828356,20708500,1809915,479030,0,0,0,0.0873996185141367,0.2646698878124111,0.0
FB15k-237,115,500,124750,44456,24504,6073,0,6073,0.3563607214428858,0.5511966888608961,0.24783708782239636,20708500,1693358,527428,929,0,929,0.08177115677137407,0.31146869120410453,0.0017613778563140372
FB15k-237,116,500,124750,9223,5029,778,752,26,0.07393186372745492,0.5452672666160685,0.15470272419964207,20708500,84157,26443,27,27,0,0.0040638868097641065,0.31421034495050915,0.001021064175774307
FB15k-237,117,500,124750,5458,2129,231,0,231,0.04375150300601202,0.3900696225723708,0.1085016439643025,20708500,35917,8814,232,0,232,0.0017344085761885216,0.2453991146253863,0.026321760835035173
FB15k-237,118,500,124750,36058,19898,15992,0,15992,0.28904208416833665,0.5518331576903877,0.8036988642074581,20708500,1429447,536102,0,0,0,0.06902706618055388,0.375041537041947,0.0
FB15k-237,119,351,61425,24933,17081,5730,5601,129,0.4059096459096459,0.6850760036898889,0.33546045313506234,7145775,952044,541746,181,181,0,0.13323173483631937,0.5690346244501304,0.00033410491263433415
FB15k-237,120,240,28680,16784,9818,9054,0,9054,0.5852161785216179,0.5849618684461392,0.9221837441434101,2275280,546018,201957,134,0,134,0.2399783762877536,0.3698724217882927,0.0006635075783458855
FB15k-237,121,491,120295,14917,9961,200,126,74,0.12400349141693337,0.667761614265603,0.020078305391024998,19608085,230010,102194,56,0,56,0.011730365305943952,0.444302421633842,0.0005479773763626044
FB15k-237,122,473,111628,27798,14933,202,92,110,0.24902354248038128,0.5371969206417728,0.013527087658206656,17525596,739022,222450,0,0,0,0.04216815222717675,0.3010059240455629,0.0
FB15k-237,123,379,71631,19198,7771,636,480,156,0.26801245270902263,0.4047817480987603,0.08184274868099344,9001629,417194,66439,13,13,0,0.04634650017235769,0.1592520506047546,0.00019566820692665452
FB15k-237,124,500,124750,26215,17229,3459,221,3238,0.21014028056112224,0.6572191493419798,0.20076615009576876,20708500,655928,286029,1034,0,1034,0.031674336625057344,0.436067678159798,0.0036150180576095432
FB15k-237,125,86,3655,1215,948,132,9,123,0.332421340629275,0.7802469135802469,0.13924050632911392,102340,9247,5133,0,0,0,0.09035567715458276,0.5550989510111387,0.0
FB15k-237,126,310,47895,22980,12952,566,1,565,0.47979956154087067,0.5636205395996519,0.04369981470043237,4917220,893247,284664,0,0,0,0.1816569118322955,0.3186845295870011,0.0
FB15k-237,127,337,56616,31372,24462,4555,2627,1928,0.5541189769676417,0.7797398954481704,0.18620717848090917,6322120,1489641,821101,568,540,28,0.23562365155991977,0.5512073043102331,0.0006917541203822672
FB15k-237,128,500,124750,87162,65745,41340,12,41328,0.6986933867735471,0.7542851242513939,0.6287930641113393,20708500,8479222,4647714,5356,0,5356,0.40945611705338386,0.548129769452905,0.0011523944889896408
FB15k-237,129,376,70500,56242,45077,28487,153,28334,0.7977588652482269,0.8014828775648092,0.6319630853872263,8789000,4671579,2901459,2,0,2,0.5315256570713391,0.6210874310377712,6.893083789913971e-07
FB15k-237,130,500,124750,3741,1280,170,4,166,0.02998797595190381,0.3421545041432772,0.1328125,20708500,15036,2914,33,0,33,0.000726078663350798,0.19380154296355415,0.011324639670555936
FB15k-237,131,500,124750,10854,6100,74,4,70,0.08700601202404809,0.5620047908605122,0.012131147540983607,20708500,125432,49619,0,0,0,0.006057029722094792,0.39558485872823523,0.0
FB15k-237,132,240,28680,7110,6948,1311,17,1294,0.24790794979079497,0.9772151898734177,0.18868739205526772,2275280,160386,148357,0,0,0,0.07049066488520095,0.9249996882520918,0.0
